dataset,method,supervision,frozen_backbone,learned_prompt_generator,trainable_params,fg_iou,dice,eval_miou,eval_ari,notes
GlaS,CFC training-free baseline,none,yes,no,,0.5598698446607729,0.7030933433336127,0.5764100680501544,0.25477772112173425,Exact GlaS flip-avg coarse-only baseline from the phase-1 AutoSAM comparison note.
GlaS,Frozen mask head all_scales d64,dense binary gland masks,yes,no,197249,0.8031169368808352,0.8859184015272803,0.7932073207963984,0.6245927585025193,Legacy tiny multiscale decoder; summary bundle records 40 epochs despite the older directory name.
GlaS,Frozen mask head fpn_2_only d64,dense binary gland masks,yes,no,90625,0.813221412924978,0.8922878386176467,0.8039467620916938,0.6441302807876848,Default-width coarse-only run; this is the ambiguous `fpn_2_only` directory that resolves to d64.
GlaS,Frozen mask head fpn_2_only d32,dense binary gland masks,yes,no,26881,0.8084453801947736,0.8893564018208039,0.7986158199641424,0.6337049297197236,Lower-capacity coarse-only control.
GlaS,Frozen mask head fpn_2_only d128,dense binary gland masks,yes,no,328705,0.8243115541697282,0.8994357113693254,0.8135546960377789,0.6596848700569711,Best current frozen-feature run and the current internal headline comparison point.
GlaS,Frozen mask head fpn_2_only d128 @ 224 + autosam aug,dense binary gland masks,yes,no,328705,0.8354448379140114,0.9058420824956642,0.8227116100198814,0.6800410422414638,"Closest current GlaS AutoSAM-style endpoint: explicit 224x224 resize, AutoSAM-style dense augmentation, final epoch checkpoint."
GlaS,AutoSAM reported paper reference,dense gland masks (paper),reported only,yes (reported),learned prompt encoder (reported in paper),0.8708,0.9282,,,Reported paper reference only; not reproduced by us in this repo.
MoNuSeg,Frozen mask head fpn_2_only d128 @ 512x512,dense binary nucleus masks,yes,no,328705,0.6352011982642413,0.7763165409397614,0.7553034548277299,0.5985073163090534,"Strict MoNuSeg anchor: official 30 -> 14 split semantics, explicit 512x512 resize, direct nucleus foreground metrics."
MoNuSeg,Frozen mask head fpn_2_only d128 @ native + autosam aug,dense binary nucleus masks,yes,no,328705,0.6315026616785282,0.7736261687990234,0.7497478723553569,0.585474403389427,Native-resolution coarse-only run with AutoSAM-style augmentation; roughly flat versus the strict 512x512 anchor.
MoNuSeg,Frozen mask head fpn_2+fpn_1 refine d128 @ native + autosam aug,dense binary nucleus masks,yes,no,355587,0.6876132930628713,0.8143924323160286,0.7892391159331448,0.6533071389307067,Strongest current MoNuSeg run: coarse head plus tiny mid-scale residual refinement with only a small parameter increase.
MoNuSeg,AutoSAM reported paper reference,dense nucleus masks (paper),reported only,yes (reported),learned prompt encoder (reported in paper),0.7017,0.8243,,,Reported paper reference only; current strongest local run is native-resolution and not resize-matched to the paper 512x512 setting.
